MS CPI GP COP FER FDI FII CMR BOT ER Repo IGR
-0.0015 0.0792 0.4041 -0.023 -0.2442 -0.1006 -0.7808 1.1407 -0.4183 1.2467 1.4833 -0.573
0.8086 0.738 0.6261 0.1418 0.6602 0.2679 1.1779 -0.7886 -0.9131 1.025 -0.776 -0.8412
0.1263 0.4363 0.0039 -0.1768 0.0316 -0.625 -0.2068 -0.1127 -0.2318 0.9014 0.5842 -1.4744
-1.0806 -0.8195 -0.907 -1.496 -1.5288 -0.0658 -0.9287 -0.5726 1.795 -0.7439 -1.0906 0.3237
0.8566 0.9338 0.8446 1.983 0.8838 0.0414 1.261 0.8038 -1.7415 -0.06 0.5574 -0.5313
-0.3925 -0.6326 -0.7027 -0.1239 -0.1542 -0.2796 -0.4383 -1.2112 0.7203 -0.955 -0.3237 0.506
-1.8208 -2.0449 -1.7598 -1.0148 -1.4669 -0.3596 -1.1741 0.3752 1.8544 -1.9196 1.0611 0.2311
-0.2852 -0.3994 -0.53 0.1448 0.1204 1.1458 -0.1087 -1.6618 0.7211 -1.4138 -1.7719 0.7233
0.9057 0.9975 1.0082 -0.1113 0.6119 0.096 0.3382 0.6366 -0.276 1.0407 0.509 -0.577
0.913 0.7972 0.6167 0.2668 1.2608 1.4343 1.5288 -0.9104 -0.864 0.3851 -2.1191 -0.0341
1.1091 1.03 0.9734 1.548 1.1122 1.3383 0.9892 -0.0497 -0.5431 -0.6148 -1.4705 -0.2511
0.0462 0.1468 -0.0741 -0.886 -0.1305 -0.2403 -0.5283 -1.69 0.5085 0.5738 -1.3241 0.4528
-0.1145 -0.0188 -0.1856 -0.1633 -0.4217 0.1459 0.5624 1.6996 -0.2269 -0.1467 2.2114 0.9724
0.7512 0.5537 0.7677 1.8797 1.6897 3.2449 0.7218 1.3248 -1.2013 -1.0655 1.2833 0.3218
1.6998 1.6785 1.6521 1.4773 1.9234 1.6641 1.6175 -0.002 -1.6215 0.8738 -0.2336 -0.9855
0.5889 0.7452 0.7445 0.6984 0.5677 0.5374 0.5528 1.3104 -0.9029 0.4612 0.7169 0.6993
0.2598 0.1808 0.146 0.6121 1.1911 0.0418 1.3112 -1.3891 -0.2748 -0.5451 -1.2353 0.5294
0.6443 0.6002 0.5114 0.4361 1.0358 0.1591 1.5668 -0.4474 -1.1149 0.2495 -0.8068 0.4458
